loc,year,mo,da,adt,juv,unkn,roll. Frame,photoN,notes,date,DOY,Zone,valid,seq,total,PR(juv),juv2,tot2,juvtot,,,,,
SEAL,1985,10,10,14,4,0,,,,10/10/1985,283,5,1,27,18,0.222222222,16,324,72,,,,,
SEAL,1985,10,10,17,0,0,,,,10/10/1985,283,5,1,28,17,0,0,289,0,,,,,
SEAL,1985,10,10,21,4,0,,,,10/10/1985,283,5,1,29,25,0.16,16,625,100,,,,,
SEAL,1985,10,10,5,4,0,,,,10/10/1985,283,5,1,30,9,0.444444444,16,81,36,,,,,
SEAL,1985,10,10,14,0,0,,,,10/10/1985,283,5,1,31,14,0,0,196,0,,,,,
SEAL,1985,10,10,36,26,0,,,,10/10/1985,283,5,1,32,62,0.419354839,676,3844,1612,,,,,
SEAL,1985,10,10,30,16,0,,,,10/10/1985,283,5,1,33,46,0.347826087,256,2116,736,,,,,
SEAL,1985,10,10,5,5,0,,,,10/10/1985,283,5,1,34,10,0.5,25,100,50,,,,,
SEAL,1985,10,10,10,2,0,,,,10/10/1985,283,5,1,35,12,0.166666667,4,144,24,,,,,
SEAL,1985,10,10,11,0,0,,,,10/10/1985,283,5,1,36,11,0,0,121,0,,,,,
SEAL,1985,10,10,17,0,0,,,,10/10/1985,283,5,1,37,17,0,0,289,0,,,,,
NELSON,1985,9,24,3,5,0,,,,9/24/1985,267,6,1,38,8,0.625,25,64,40,,,,,
NELSON,1985,9,24,3,3,0,,,,9/24/1985,267,6,1,39,6,0.5,9,36,18,,,,,
NELSON,1985,9,24,21,0,0,,,,9/24/1985,267,6,1,40,21,0,0,441,0,,,,,
NELSON,1985,9,24,3,3,0,,,,9/24/1985,267,6,1,41,6,0.5,9,36,18,,,,,
NELSON,1985,9,24,34,0,0,,,,9/24/1985,267,6,1,42,34,0,0,1156,0,,,,,
NELSON,1985,9,24,27,0,0,,,,9/24/1985,267,6,1,43,27,0,0,729,0,,,,,
NELSON,1985,9,24,28,0,0,,,,9/24/1985,267,6,1,44,28,0,0,784,0,,,,,
NELSON,1985,9,24,18,11,0,,,,9/24/1985,267,6,1,45,29,0.379310345,121,841,319,,,,,
NELSON,1985,9,24,9,0,0,,,,9/24/1985,267,6,1,46,9,0,0,81,0,,,,,
NELSON,1985,9,24,11,8,0,,,,9/24/1985,267,6,1,47,19,0.421052632,64,361,152,,,,,
NELSON,1985,9,24,18,0,0,,,,9/24/1985,267,6,1,48,18,0,0,324,0,,,,,
NELSON,1985,9,24,19,13,0,,,,9/24/1985,267,6,1,49,32,0.40625,169,1024,416,,,,,
NELSON,1985,9,24,4,4,0,,,,9/24/1985,267,6,1,50,8,0.5,16,64,32,,,,,
NELSON,1985,9,24,8,1,0,,,,9/24/1985,267,6,1,51,9,0.111111111,1,81,9,,,,,
NELSON,1985,9,24,24,4,0,,,,9/24/1985,267,6,1,52,28,0.142857143,16,784,112,,,,,
NELSON,1985,9,24,10,0,0,,,,9/24/1985,267,6,1,53,10,0,0,100,0,,,,,
NELSON,1985,9,24,15,0,0,,,,9/24/1985,267,6,1,54,15,0,0,225,0,,,,,
NELSON,1985,9,24,16,0,0,,,,9/24/1985,267,6,1,55,16,0,0,256,0,,,,,
NELSON,1985,9,24,17,0,0,,,,9/24/1985,267,6,1,56,17,0,0,289,0,,,,,
NELSON,1985,9,24,7,1,0,,,,9/24/1985,267,6,1,57,8,0.125,1,64,8,,,,,
NELSON,1985,9,24,9,0,0,,,,9/24/1985,267,6,1,58,9,0,0,81,0,,,,,
NELSON,1985,9,24,8,2,0,,,,9/24/1985,267,6,1,59,10,0.2,4,100,20,,,,,
NELSON,1985,9,24,17,0,0,,,,9/24/1985,267,6,1,60,17,0,0,289,0,,,,,
NELSON,1985,9,24,7,2,0,,,,9/24/1985,267,6,1,61,9,0.222222222,4,81,18,,,,,
NELSON,1985,9,24,9,2,0,,,,9/24/1985,267,6,1,62,11,0.181818182,4,121,22,,,,,
NELSON,1985,9,24,6,15,0,,,,9/24/1985,267,6,1,63,21,0.714285714,225,441,315,,,,,
NELSON,1985,10,3,11,0,0,,,,10/3/1985,276,6,1,64,11,0,0,121,0,,,,,
NELSON,1985,10,3,12,0,0,,,,10/3/1985,276,6,1,65,12,0,0,144,0,,,,,
NELSON,1985,10,3,28,0,0,,,,10/3/1985,276,6,1,66,28,0,0,784,0,,,,,
NELSON,1985,10,3,21,0,0,,,,10/3/1985,276,6,1,67,21,0,0,441,0,,,,,
NELSON,1985,10,3,10,0,0,,,,10/3/1985,276,6,1,68,10,0,0,100,0,,,,,
NELSON,1985,10,3,4,0,0,,,,10/3/1985,276,6,1,69,4,0,0,16,0,,,,,
NELSON,1985,10,3,15,1,0,,,,10/3/1985,276,6,1,70,16,0.0625,1,256,16,,,,,
NELSON,1985,10,3,11,0,0,,,,10/3/1985,276,6,1,71,11,0,0,121,0,,,,,
NELSON,1985,10,6,14,0,0,,,,10/6/1985,279,6,1,72,14,0,0,196,0,,,,,
NELSON,1985,10,6,16,15,0,,,,10/6/1985,279,6,1,73,31,0.483870968,225,961,465,,,,,
NELSON,1985,10,6,10,9,0,,,,10/6/1985,279,6,1,74,19,0.473684211,81,361,171,,,,,
NELSON,1985,10,6,4,0,0,,,,10/6/1985,279,6,1,75,4,0,0,16,0,,,,,
NELSON,1985,10,6,18,0,0,,,,10/6/1985,279,6,1,76,18,0,0,324,0,,,,,
NELSON,1985,10,6,16,1,0,,,,10/6/1985,279,6,1,77,17,0.058823529,1,289,17,,,,,
NELSON,1985,10,6,35,3,0,,,,10/6/1985,279,6,1,78,38,0.078947368,9,1444,114,,,,,
NELSON,1985,10,6,19,3,0,,,,10/6/1985,279,6,1,79,22,0.136363636,9,484,66,,,,,
NELSON,1985,10,6,5,0,0,,,,10/6/1985,279,6,1,80,5,0,0,25,0,,,,,
NELSON,1985,10,6,19,0,0,,,,10/6/1985,279,6,1,81,19,0,0,361,0,,,,,
NELSON,1985,10,6,4,0,0,,,,10/6/1985,279,6,1,82,4,0,0,16,0,,,,,
NELSON,1985,10,6,7,1,0,,,,10/6/1985,279,6,1,83,8,0.125,1,64,8,,,,,
NELSON,1985,10,6,5,0,0,,,,10/6/1985,279,6,1,84,5,0,0,25,0,,,,,
NELSON,1985,10,6,20,0,0,,,,10/6/1985,279,6,1,85,20,0,0,400,0,,,,,
NELSON,1985,10,6,24,0,0,,,,10/6/1985,279,6,1,86,24,0,0,576,0,,,,,
NELSON,1985,10,6,9,0,0,,,,10/6/1985,279,6,1,87,9,0,0,81,0,,,,,
NELSON,1985,10,6,5,8,0,,,,10/6/1985,279,6,1,88,13,0.615384615,64,169,104,,,,,
NELSON,1985,10,6,15,7,0,,,,10/6/1985,279,6,1,89,22,0.318181818,49,484,154,,,,,
NELSON,1985,10,6,12,14,0,,,,10/6/1985,279,6,1,90,26,0.538461538,196,676,364,,,,,
NELSON,1985,10,6,9,0,0,,,,10/6/1985,279,6,1,91,9,0,0,81,0,,,,,
NELSON,1985,10,6,2,0,0,,,,10/6/1985,279,6,1,92,2,0,0,4,0,,,,,
NELSON,1985,10,6,8,0,0,,,,10/6/1985,279,6,1,93,8,0,0,64,0,,,,,
NELSON,1985,10,6,14,0,0,,,,10/6/1985,279,6,1,94,14,0,0,196,0,,,,,
NELSON,1985,10,6,10,4,0,,,,10/6/1985,279,6,1,95,14,0.285714286,16,196,56,,,,,
NELSON,1985,10,6,30,7,0,,,,10/6/1985,279,6,1,96,37,0.189189189,49,1369,259,,,,,
NELSON,1985,10,6,32,8,0,,,,10/6/1985,279,6,1,97,40,0.2,64,1600,320,,,,,
NELSON,1985,10,6,6,8,0,,,,10/6/1985,279,6,1,98,14,0.571428571,64,196,112,,,,,
NELSON,1985,10,6,14,2,0,,,,10/6/1985,279,6,1,99,16,0.125,4,256,32,,,,,
NELSON,1985,10,6,1,1,0,,,,10/6/1985,279,6,1,100,2,0.5,1,4,2,,,,,
NELSON,1985,10,6,4,0,0,,,,10/6/1985,279,6,1,101,4,0,0,16,0,,,,,
NELSON,1985,10,6,11,0,0,,,,10/6/1985,279,6,1,102,11,0,0,121,0,,,,,
NELSON,1985,10,6,14,0,0,,,,10/6/1985,279,6,1,103,14,0,0,196,0,,,,,
NELSON,1985,10,10,11,2,0,,,,10/10/1985,283,6,1,104,13,0.153846154,4,169,26,,,,,
NELSON,1985,10,10,11,1,0,,,,10/10/1985,283,6,1,105,12,0.083333333,1,144,12,,,,,
NELSON,1985,10,10,6,0,0,,,,10/10/1985,283,6,1,106,6,0,0,36,0,,,,,
NELSON,1985,10,10,21,0,0,,,,10/10/1985,283,6,1,107,21,0,0,441,0,,,,,
NELSON,1985,10,10,13,0,0,,,,10/10/1985,283,6,1,108,13,0,0,169,0,,,,,
IZEMBEK,1985,10,3,27,11,0,,,,10/3/1985,276,7,1,109,38,0.289473684,121,1444,418,,,,,
IZEMBEK,1985,10,3,24,14,0,,,,10/3/1985,276,7,1,110,38,0.368421053,196,1444,532,,,,,
IZEMBEK,1985,10,3,8,0,0,,,,10/3/1985,276,7,1,111,8,0,0,64,0,,,,,
IZEMBEK,1985,10,3,24,0,0,,,,10/3/1985,276,7,1,112,24,0,0,576,0,,,,,
IZEMBEK,1985,10,3,13,2,0,,,,10/3/1985,276,7,1,113,15,0.133333333,4,225,30,,,,,
IZEMBEK,1985,10,3,50,0,0,,,,10/3/1985,276,7,1,114,50,0,0,2500,0,,,,,
IZEMBEK,1985,10,3,41,2,0,,,,10/3/1985,276,7,1,115,43,0.046511628,4,1849,86,,,,,
IZEMBEK,1985,10,3,9,0,0,,,,10/3/1985,276,7,1,116,9,0,0,81,0,,,,,
IZEMBEK,1985,10,2,45,2,0,,,,10/2/1985,275,7,1,117,47,0.042553191,4,2209,94,,,,,
IZEMBEK,1985,10,6,43,14,0,,,,10/6/1985,279,7,1,118,57,0.245614035,196,3249,798,,,,,
IZEMBEK,1985,10,6,25,2,0,,,,10/6/1985,279,7,1,119,27,0.074074074,4,729,54,,,,,
IZEMBEK,1985,10,6,7,0,0,,,,10/6/1985,279,7,1,120,7,0,0,49,0,,,,,
IZEMBEK,1985,10,6,15,0,0,,,,10/6/1985,279,7,1,121,15,0,0,225,0,,,,,
IZEMBEK,1985,10,6,15,0,0,,,,10/6/1985,279,7,1,122,15,0,0,225,0,,,,,
IZEMBEK,1985,10,6,21,0,0,,,,10/6/1985,279,7,1,123,21,0,0,441,0,,,,,
IZEMBEK,1985,10,6,4,2,0,,,,10/6/1985,279,7,1,124,6,0.333333333,4,36,12,,,,,
IZEMBEK,1985,10,6,25,33,0,,,,10/6/1985,279,7,1,125,58,0.568965517,1089,3364,1914,,,,,
IZEMBEK,1985,10,6,14,3,0,,,,10/6/1985,279,7,1,126,17,0.176470588,9,289,51,,,,,
IZEMBEK,1985,10,6,20,1,0,,,,10/6/1985,279,7,1,127,21,0.047619048,1,441,21,,,,,
IZEMBEK,1985,10,6,8,0,0,,,,10/6/1985,279,7,1,128,8,0,0,64,0,,,,,
IZEMBEK,1985,10,6,13,0,0,,,,10/6/1985,279,7,1,129,13,0,0,169,0,,,,,
IZEMBEK,1985,10,6,8,0,0,,,,10/6/1985,279,7,1,130,8,0,0,64,0,,,,,
IZEMBEK,1985,10,6,3,8,0,,,,10/6/1985,279,7,1,131,11,0.727272727,64,121,88,,,,,
IZEMBEK,1985,10,6,2,4,0,,,,10/6/1985,279,7,1,132,6,0.666666667,16,36,24,,,,,
IZEMBEK,1985,10,6,12,3,0,,,,10/6/1985,279,7,1,133,15,0.2,9,225,45,,,,,
IZEMBEK,1985,10,6,31,8,0,,,,10/6/1985,279,7,1,134,39,0.205128205,64,1521,312,,,,,
IZEMBEK,1985,10,6,35,9,0,,,,10/6/1985,279,7,1,135,44,0.204545455,81,1936,396,,,,,
IZEMBEK,1985,10,6,30,13,0,,,,10/6/1985,279,7,1,136,43,0.302325581,169,1849,559,,,,,
IZEMBEK,1985,10,6,37,4,0,,,,10/6/1985,279,7,1,137,41,0.097560976,16,1681,164,,,,,
MORC,1985,10,6,65,0,0,,,,10/6/1985,279,7,1,138,65,0,0,4225,0,,,,,
MORC,1985,10,6,35,0,0,,,,10/6/1985,279,7,1,139,35,0,0,1225,0,,,,,
MORC,1985,10,6,13,2,0,,,,10/6/1985,279,7,1,140,15,0.133333333,4,225,30,,,,,
MORC,1985,10,6,36,12,0,,,,10/6/1985,279,7,1,141,48,0.25,144,2304,576,,,,,
MORC,1985,10,6,54,12,0,,,,10/6/1985,279,7,1,142,66,0.181818182,144,4356,792,,,,,
MORC,1985,10,6,4,0,0,,,,10/6/1985,279,7,1,143,4,0,0,16,0,,,,,
MORC,1985,10,6,14,0,0,,,,10/6/1985,279,7,1,144,14,0,0,196,0,,,,,
MORC,1985,10,6,9,5,0,,,,10/6/1985,279,7,1,145,14,0.357142857,25,196,70,,,,,
MORC,1985,10,6,16,13,0,,,,10/6/1985,279,7,1,146,29,0.448275862,169,841,377,,,,,
MORC,1985,10,6,21,12,0,,,,10/6/1985,279,7,1,147,33,0.363636364,144,1089,396,,,,,
MORC,1985,10,6,32,9,0,,,,10/6/1985,279,7,1,148,41,0.219512195,81,1681,369,,,,,
MORC,1985,10,6,14,0,0,,,,10/6/1985,279,7,1,149,14,0,0,196,0,,,,,
MORC,1985,10,6,21,3,0,,,,10/6/1985,279,7,1,150,24,0.125,9,576,72,,,,,
IZEMBEK,1985,10,10,15,0,0,,,,10/10/1985,283,7,1,151,15,0,0,225,0,,,,,
IZEMBEK,1985,10,10,5,3,0,,,,10/10/1985,283,7,1,152,8,0.375,9,64,24,,,,,
IZEMBEK,1985,10,10,4,1,0,,,,10/10/1985,283,7,1,153,5,0.2,1,25,5,,,,,
IZEMBEK,1985,10,10,4,0,0,,,,10/10/1985,283,7,1,154,4,0,0,16,0,,,,,
IZEMBEK,1985,10,10,7,0,0,,,,10/10/1985,283,7,1,155,7,0,0,49,0,,,,,
EGEGIK,1986,10,1,2,0,0,,,,10/1/1986,274,1,1,156,2,0,0,4,0,,,,,
EGEGIK,1986,10,1,28,5,0,,,,10/1/1986,274,1,1,157,33,0.151515152,25,1089,165,,,,,
EGEGIK,1986,10,1,59,22,0,,,,10/1/1986,274,1,1,158,81,0.271604938,484,6561,1782,,,,,
EGEGIK,1986,10,1,23,2,0,,,,10/1/1986,274,1,1,159,25,0.08,4,625,50,,,,,
EGEGIK,1986,10,1,35,1,0,,,,10/1/1986,274,1,1,160,36,0.027777778,1,1296,36,,,,,
EGEGIK,1986,10,1,11,3,0,,,,10/1/1986,274,1,1,161,14,0.214285714,9,196,42,,,,,
EGEGIK,1986,10,1,11,9,0,,,,10/1/1986,274,1,1,162,20,0.45,81,400,180,,,,,
EGEGIK,1986,10,1,27,0,0,,,,10/1/1986,274,1,1,163,27,0,0,729,0,,,,,
EGEGIK,1986,10,1,16,0,0,,,,10/1/1986,274,1,1,164,16,0,0,256,0,,,,,
EGEGIK,1986,10,5,26,6,0,,,,10/5/1986,278,1,1,165,32,0.1875,36,1024,192,,,,,
EGEGIK,1986,10,5,31,7,0,,,,10/5/1986,278,1,1,166,38,0.184210526,49,1444,266,,,,,
EGEGIK,1986,10,5,21,2,0,,,,10/5/1986,278,1,1,167,23,0.086956522,4,529,46,,,,,
EGEGIK,1986,10,5,6,4,0,,,,10/5/1986,278,1,1,168,10,0.4,16,100,40,,,,,
EGEGIK,1986,10,11,3,2,0,,,,10/11/1986,284,1,1,169,5,0.4,4,25,10,,,,,
UGASHIK,1986,10,1,14,6,0,,,,10/1/1986,274,2,1,170,20,0.3,36,400,120,,,,,
UGASHIK,1986,10,1,20,4,0,,,,10/1/1986,274,2,1,171,24,0.166666667,16,576,96,,,,,
UGASHIK,1986,10,1,8,1,0,,,,10/1/1986,274,2,1,172,9,0.111111111,1,81,9,,,,,
UGASHIK,1986,10,1,13,0,0,,,,10/1/1986,274,2,1,173,13,0,0,169,0,,,,,
UGASHIK,1986,10,1,24,1,0,,,,10/1/1986,274,2,1,174,25,0.04,1,625,25,,,,,
UGASHIK,1986,10,1,5,1,0,,,,10/1/1986,274,2,1,175,6,0.166666667,1,36,6,,,,,
UGASHIK,1986,10,5,16,3,0,,,,10/5/1986,278,2,1,176,19,0.157894737,9,361,57,,,,,
UGASHIK,1986,10,5,9,3,0,,,,10/5/1986,278,2,1,177,12,0.25,9,144,36,,,,,
UGASHIK,1986,10,5,7,7,0,,,,10/5/1986,278,2,1,178,14,0.5,49,196,98,,,,,
UGASHIK,1986,10,13,8,1,0,,,,10/13/1986,286,2,1,179,9,0.111111111,1,81,9,,,,,
UGASHIK,1986,10,13,13,0,0,,,,10/13/1986,286,2,1,180,13,0,0,169,0,,,,,
UGASHIK,1986,10,13,10,6,0,,,,10/13/1986,286,2,1,181,16,0.375,36,256,96,,,,,
UGASHIK,1986,10,13,13,7,0,,,,10/13/1986,286,2,1,182,20,0.35,49,400,140,,,,,
UGASHIK,1986,10,13,6,12,0,,,,10/13/1986,286,2,1,183,18,0.666666667,144,324,216,,,,,
UGASHIK,1986,10,13,17,10,0,,,,10/13/1986,286,2,1,184,27,0.37037037,100,729,270,,,,,
UGASHIK,1986,10,13,16,11,0,,,,10/13/1986,286,2,1,185,27,0.407407407,121,729,297,,,,,
CINDER,1986,9,30,19,6,0,,,,9/30/1986,273,3,1,186,25,0.24,36,625,150,,,,,
CINDER,1986,9,30,56,29,0,,,,9/30/1986,273,3,1,187,85,0.341176471,841,7225,2465,,,,,
CINDER,1986,9,30,100,36,0,,,,9/30/1986,273,3,1,188,136,0.264705882,1296,18496,4896,,,,,
CINDER,1986,9,30,56,10,0,,,,9/30/1986,273,3,1,189,66,0.151515152,100,4356,660,,,,,
CINDER,1986,9,30,38,15,0,,,,9/30/1986,273,3,1,190,53,0.283018868,225,2809,795,,,,,
CINDER,1986,9,30,33,9,0,,,,9/30/1986,273,3,1,191,42,0.214285714,81,1764,378,,,,,
CINDER,1986,9,30,6,0,0,,,,9/30/1986,273,3,1,192,6,0,0,36,0,,,,,
CINDER,1986,9,30,13,4,0,,,,9/30/1986,273,3,1,193,17,0.235294118,16,289,68,,,,,
CINDER,1986,9,30,6,1,0,,,,9/30/1986,273,3,1,194,7,0.142857143,1,49,7,,,,,
CINDER,1986,9,30,23,2,0,,,,9/30/1986,273,3,1,195,25,0.08,4,625,50,,,,,
CINDER,1986,9,30,16,0,0,,,,9/30/1986,273,3,1,196,16,0,0,256,0,,,,,
CINDER,1986,9,30,17,6,0,,,,9/30/1986,273,3,1,197,23,0.260869565,36,529,138,,,,,
CINDER,1986,9,30,24,10,0,,,,9/30/1986,273,3,1,198,34,0.294117647,100,1156,340,,,,,
CINDER,1986,9,30,15,2,0,,,,9/30/1986,273,3,1,199,17,0.117647059,4,289,34,,,,,
CINDER,1986,10,1,12,2,0,,,,10/1/1986,274,3,1,200,14,0.142857143,4,196,28,,,,,
CINDER,1986,10,1,11,5,0,,,,10/1/1986,274,3,1,201,16,0.3125,25,256,80,,,,,
CINDER,1986,10,1,17,4,0,,,,10/1/1986,274,3,1,202,21,0.19047619,16,441,84,,,,,
CINDER,1986,10,1,10,7,0,,,,10/1/1986,274,3,1,203,17,0.411764706,49,289,119,,,,,
CINDER,1986,10,1,20,9,0,,,,10/1/1986,274,3,1,204,29,0.310344828,81,841,261,,,,,
CINDER,1986,10,1,6,0,0,,,,10/1/1986,274,3,1,205,6,0,0,36,0,,,,,
CINDER,1986,10,1,10,0,0,,,,10/1/1986,274,3,1,206,10,0,0,100,0,,,,,
CINDER,1986,10,1,8,4,0,,,,10/1/1986,274,3,1,207,12,0.333333333,16,144,48,,,,,
CINDER,1986,10,1,14,1,0,,,,10/1/1986,274,3,1,208,15,0.066666667,1,225,15,,,,,
CINDER,1986,10,1,38,22,0,,,,10/1/1986,274,3,1,209,60,0.366666667,484,3600,1320,,,,,
CINDER,1986,10,1,11,3,0,,,,10/1/1986,274,3,1,210,14,0.214285714,9,196,42,,,,,
CINDER,1986,10,1,43,17,0,,,,10/1/1986,274,3,1,211,60,0.283333333,289,3600,1020,,,,,
CINDER,1986,10,1,86,5,0,,,,10/1/1986,274,3,1,212,91,0.054945055,25,8281,455,,,,,
CINDER,1986,10,1,15,0,0,,,,10/1/1986,274,3,1,213,15,0,0,225,0,,,,,
CINDER,1986,10,1,22,5,0,,,,10/1/1986,274,3,1,214,27,0.185185185,25,729,135,,,,,
CINDER,1986,10,1,51,35,0,,,,10/1/1986,274,3,1,215,86,0.406976744,1225,7396,3010,,,,,
CINDER,1986,10,1,44,37,0,,,,10/1/1986,274,3,1,216,81,0.456790123,1369,6561,2997,,,,,
CINDER,1986,10,1,13,16,0,,,,10/1/1986,274,3,1,217,29,0.551724138,256,841,464,,,,,
CINDER,1986,10,1,29,15,0,,,,10/1/1986,274,3,1,218,44,0.340909091,225,1936,660,,,,,
CINDER,1986,10,1,28,20,0,,,,10/1/1986,274,3,1,219,48,0.416666667,400,2304,960,,,,,
CINDER,1986,10,5,7,4,0,,,,10/5/1986,278,3,1,220,11,0.363636364,16,121,44,,,,,
CINDER,1986,10,5,12,7,0,,,,10/5/1986,278,3,1,221,19,0.368421053,49,361,133,,,,,
CINDER,1986,10,5,24,8,0,,,,10/5/1986,278,3,1,222,32,0.25,64,1024,256,,,,,
CINDER,1986,10,5,9,14,0,,,,10/5/1986,278,3,1,223,23,0.608695652,196,529,322,,,,,
CINDER,1986,10,5,26,20,0,,,,10/5/1986,278,3,1,224,46,0.434782609,400,2116,920,,,,,
CINDER,1986,10,5,14,13,0,,,,10/5/1986,278,3,1,225,27,0.481481481,169,729,351,,,,,
CINDER,1986,10,5,16,2,0,,,,10/5/1986,278,3,1,226,18,0.111111111,4,324,36,,,,,
CINDER,1986,10,5,8,0,0,,,,10/5/1986,278,3,1,227,8,0,0,64,0,,,,,
CINDER,1986,10,5,19,0,0,,,,10/5/1986,278,3,1,228,19,0,0,361,0,,,,,
CINDER,1986,10,5,21,1,0,,,,10/5/1986,278,3,1,229,22,0.045454545,1,484,22,,,,,
CINDER,1986,10,5,19,18,0,,,,10/5/1986,278,3,1,230,37,0.486486486,324,1369,666,,,,,
CINDER,1986,10,5,4,8,0,,,,10/5/1986,278,3,1,231,12,0.666666667,64,144,96,,,,,
CINDER,1986,10,5,13,16,0,,,,10/5/1986,278,3,1,232,29,0.551724138,256,841,464,,,,,
CINDER,1986,10,5,4,1,0,,,,10/5/1986,278,3,1,233,5,0.2,1,25,5,,,,,
CINDER,1986,10,5,22,5,0,,,,10/5/1986,278,3,1,234,27,0.185185185,25,729,135,,,,,
CINDER,1986,10,5,8,0,0,,,,10/5/1986,278,3,1,235,8,0,0,64,0,,,,,
CINDER,1986,10,5,13,4,0,,,,10/5/1986,278,3,1,236,17,0.235294118,16,289,68,,,,,
CINDER,1986,10,5,11,1,0,,,,10/5/1986,278,3,1,237,12,0.083333333,1,144,12,,,,,
CINDER,1986,10,13,9,0,0,,,,10/13/1986,286,3,1,238,9,0,0,81,0,,,,,
CINDER,1986,10,13,11,0,0,,,,10/13/1986,286,3,1,239,11,0,0,121,0,,,,,
CINDER,1986,10,13,16,4,0,,,,10/13/1986,286,3,1,240,20,0.2,16,400,80,,,,,
CINDER,1986,10,13,2,8,0,,,,10/13/1986,286,3,1,241,10,0.8,64,100,80,,,,,
CINDER,1986,10,13,14,4,0,,,,10/13/1986,286,3,1,242,18,0.222222222,16,324,72,,,,,
CINDER,1986,10,13,13,0,0,,,,10/13/1986,286,3,1,243,13,0,0,169,0,,,,,
CINDER,1986,10,13,10,3,0,,,,10/13/1986,286,3,1,244,13,0.230769231,9,169,39,,,,,
CINDER,1986,10,13,7,1,0,,,,10/13/1986,286,3,1,245,8,0.125,1,64,8,,,,,
CINDER,1986,10,13,4,3,0,,,,10/13/1986,286,3,1,246,7,0.428571429,9,49,21,,,,,
CINDER,1986,10,15,27,11,0,,,,10/15/1986,288,3,1,247,38,0.289473684,121,1444,418,,,,,
CINDER,1986,10,15,10,1,0,,,,10/15/1986,288,3,1,248,11,0.090909091,1,121,11,,,,,
CINDER,1986,10,15,12,1,0,,,,10/15/1986,288,3,1,249,13,0.076923077,1,169,13,,,,,
CINDER,1986,10,15,22,6,0,,,,10/15/1986,288,3,1,250,28,0.214285714,36,784,168,,,,,
CINDER,1986,10,15,22,10,0,,,,10/15/1986,288,3,1,251,32,0.3125,100,1024,320,,,,,
CINDER,1986,10,15,3,2,0,,,,10/15/1986,288,3,1,252,5,0.4,4,25,10,,,,,
CINDER,1986,10,15,22,11,0,,,,10/15/1986,288,3,1,253,33,0.333333333,121,1089,363,,,,,
CINDER,1986,10,15,7,3,0,,,,10/15/1986,288,3,1,254,10,0.3,9,100,30,,,,,
CINDER,1986,10,15,11,3,0,,,,10/15/1986,288,3,1,255,14,0.214285714,9,196,42,,,,,
